"","date","month","city","state","event_name","JSD_score","Spearman_cor"
"194","25/3/2017",3,"Los Angeles","CA","PaleyFest LA",0.214174722947162,0
"195","25/3/2017",3,"Boise","ID","Treefort Music Fest",0,1
"196","25/3/2017",3,"Miami","FL","Ultra Music Festival",0.234342151761035,0.417857142857143
"197","25/3/2017",3,"Las Vegas","NV","Stellar Gospel Music Awards",0.214558061599939,-0.217857142857143
"198","26/3/2017",3,"Los Angeles","CA","PaleyFest LA",0.214174722947162,0
"199","26/3/2017",3,"Boise","ID","Treefort Music Fest",0,1
"200","26/3/2017",3,"Miami","FL","Ultra Music Festival",0.234342151761035,0.417857142857143
"201","28/3/2017",3,"Nashville","TN","Tin Pan South Songwriters Festival",0.197401965253253,0.139285714285714
"202","29/3/2017",3,"Nashville","TN","Tin Pan South Songwriters Festival",0.197401965253253,0.139285714285714
"203","30/3/2017",3,"Nashville","TN","Tin Pan South Songwriters Festival",0.197401965253253,0.139285714285714
"204","30/3/2017",3,"Las Vegas","NV","ACM Party for a Cause Festival",0.228410078665918,0.114285714285714
"205","30/3/2017",3,"Walland","TN","Americana Spring Celebration",0,1
"206","31/3/2017",3,"Nashville","TN","Tin Pan South Songwriters Festival",0.197401965253253,0.139285714285714
"207","31/3/2017",3,"Las Vegas","NV","ACM Party for a Cause Festival",0.228410078665918,0.114285714285714
"208","31/3/2017",3,"Walland","TN","Americana Spring Celebration",0,1
"209","31/3/2017",3,"Anaheim","CA","WonderCon",0.0627324141496688,0.425
"210","1/4/17",4,"Nashville","TN","Tin Pan South Songwriters Festival",0.197401965253253,0.139285714285714
"211","1/4/17",4,"Las Vegas","NV","ACM Party for a Cause Festival",0.228410078665918,0.114285714285714
"212","1/4/17",4,"Walland","TN","Americana Spring Celebration",0,1
"213","1/4/17",4,"Anaheim","CA","WonderCon",0.0627324141496688,0.425
"214","1/4/17",4,"Phoenix","AZ","NCAA Final Four",0.202737661937141,0.353571428571428
"215","2/4/17",4,"Las Vegas","NV","ACM Party for a Cause Festival",0.228410078665918,0.114285714285714
"216","2/4/17",4,"Anaheim","CA","WonderCon",0.0627324141496688,0.425
"217","2/4/17",4,"Las Vegas","NV","Academy of Country Music Awards",0.267658522471506,-0.0892857142857143
"218","3/4/17",4,"New York","NY","New York City International Film Festival",0.105677455719396,0.221428571428571
"219","3/4/17",4,"Phoenix","AZ","NCAA Championship Game",0.230363477951794,0.357142857142857
"220","4/4/17",4,"New York","NY","New York City International Film Festival",0.105677455719396,0.221428571428571
"221","5/4/17",4,"New York","NY","New York City International Film Festival",0.105677455719396,0.221428571428571
"222","6/4/17",4,"New York","NY","New York City International Film Festival",0.105677455719396,0.221428571428571
"223","6/4/17",4,"Florence","AZ","Country Thunder Arizona",0,1
"224","6/4/17",4,"Austin","TX","Euphoria Music Fest",0.186106290175978,0.403571428571428
"225","6/4/17",4,"New Orleans","LA","French Quarter Festival",0.210162764161855,0.332142857142857
"226","7/4/17",4,"New York","NY","New York City International Film Festival",0.105677455719396,0.221428571428571
"227","7/4/17",4,"Florence","AZ","Country Thunder Arizona",0,1
"228","7/4/17",4,"Austin","TX","Euphoria Music Fest",0.186106290175978,0.403571428571428
"229","7/4/17",4,"New Orleans","LA","French Quarter Festival",0.210162764161855,0.332142857142857
"230","7/4/17",4,"Fort Lauderdale","FL","Tortuga Music Festival",5.01254482989513e-17,1
"231","7/4/17",4,"Brooklyn","NY","Rock and Roll Hall of Fame Induction Ceremony",0.305262608206892,-0.0785714285714286
"232","8/4/17",4,"Florence","AZ","Country Thunder Arizona",0,1
"233","8/4/17",4,"Austin","TX","Euphoria Music Fest",0.186106290175978,0.403571428571428
"234","8/4/17",4,"New Orleans","LA","French Quarter Festival",0.210162764161855,0.332142857142857
"235","8/4/17",4,"Fort Lauderdale","FL","Tortuga Music Festival",5.01254482989513e-17,1
"236","9/4/17",4,"Florence","AZ","Country Thunder Arizona",0,1
"237","9/4/17",4,"Austin","TX","Euphoria Music Fest",0.186106290175978,0.403571428571428
"238","9/4/17",4,"New Orleans","LA","French Quarter Festival",0.210162764161855,0.332142857142857
"239","9/4/17",4,"Fort Lauderdale","FL","Tortuga Music Festival",5.01254482989513e-17,1
"240","13/4/2017",4,"Lancaster","PA","Launch Music Conference & Festival",0,1
"241","13/4/2017",4,"Los Angeles","CA","ASCAP äóìI Create Musicäó EXPO",0.326448107705822,0.0607142857142857
"242","13/4/2017",4,"New York","NY","SESAC Pop Music Awards",0.370907556780014,0.0214285714285714
